Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
DEMETHYLMENAQUINONE,2-demethylmenaquinone-<i>8</i>,,,,,,,
CPD-12115,demethylmenaquinol-8,demethylmenaquinol-8 biosynthesis I // menaquinol-8 biosynthesis // superpathway of chorismate metabolism // superpathway of menaquinol-8 biosynthesis I,Demethylmenaquinol-8 Biosynthesis // Menaquinol Biosynthesis // Superpathways,Demethylmenaquinol Biosynthesis // Quinol and Quinone Biosynthesis // Pathways,Quinol and Quinone Biosynthesis // Electron Carrier Biosynthesis // All Pathways and Reactions,Electron Carrier Biosynthesis // Carrier Biosynthesis // FRAMES,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // THINGS","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // "
DEOXY-D-RIBOSE-1-PHOSPHATE,2-deoxy-&alpha;-D-ribose 1-phosphate,purine deoxyribonucleosides degradation I // pyrimidine deoxyribonucleosides degradation // salvage pathways of pyrimidine deoxyribonucleotides // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // superpathway of pyrimidine deoxyribonucleosides degradation // superpathway of purine deoxyribonucleosides degradation,Purine Nucleotide Degradation // Pyrimidine Deoxyribonucleoside Degradation // Pyrimidine Nucleotide Salvage // Sugar Derivative Degradation // Pyrimidine Nucleotide Degradation // Superpathways // Nucleoside and Nucleotide Degradation,Nucleoside and Nucleotide Degradation // Pyrimidine Nucleotide Degradation // Pyrimidine Nucleotide Biosynthesis // Sugar Degradation // Pathways // Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation // Nucleoside and Nucleotide Degradation // Nucleoside and Nucleotide Biosynthesis // Carbohydrate Degradation // All Pathways and Reactions // Pathways,Pathways // Degradation/Utilization/Assimilation // Biosynthesis // FRAMES // All Pathways and Reactions,All Pathways and Reactions // Pathways // THINGS // FRAMES,FRAMES // All Pathways and Reactions //  // THINGS
TARTRONATE-S-ALD,tartronate semialdehyde,,,,,,,
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP,4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine,hydroxymethylpyrimidine salvage // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I // thiamine diphosphate salvage V // thiamine diphosphate salvage II // thiamine diphosphate biosynthesis I (E. coli) // superpathway of thiamine diphosphate biosynthesis I,Thiamine Diphosphate Salvage // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis // Superpathways // Thiamine Diphosphate Biosynthesis // Thiamine Biosynthesis,Thiamine Biosynthesis // Pathways // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis,"Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // All Pathways and Reactions // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Biosynthesis",Biosynthesis // THINGS // Pathways,Pathways //  // All Pathways and Reactions
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE,2-C-methyl-D-erythritol 4-phosphate,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Biosynthesis
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate",methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Biosynthesis
2-OXOBUTANOATE,2-oxobutanoate,L-threonine degradation I // L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // superpathway of L-threonine metabolism,Amino Acid Fermentation (Stickland reactions) // L-threonine Degradation // L-isoleucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Fermentation // Proteinogenic Amino Acid Degradation // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Generation of Precursor Metabolites and Energy // Amino Acid Degradation // Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Pathways // Degradation/Utilization/Assimilation // Biosynthesis // FRAMES,All Pathways and Reactions // Pathways // THINGS,FRAMES // All Pathways and Reactions // 
2-OCTAPRENYL-6-HYDROXYPHENOL,"3-(<i>all-trans</i>-octaprenyl)benzene-1,2-diol",ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of chorismate metabolism,Ubiquinol Biosynthesis // Superpathways,Quinol and Quinone Biosynthesis // Pathways,Electron Carrier Biosynthesis // All Pathways and Reactions,Carrier Biosynthesis // FRAMES,"Cofactor, Carrier, and Vitamin Biosynthesis // THINGS",Biosynthesis // 
2-OCTAPRENYLPHENOL,2-octaprenylphenol,ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of chorismate metabolism,Ubiquinol Biosynthesis // Superpathways,Quinol and Quinone Biosynthesis // Pathways,Electron Carrier Biosynthesis // All Pathways and Reactions,Carrier Biosynthesis // FRAMES,"Cofactor, Carrier, and Vitamin Biosynthesis // THINGS",Biosynthesis // 
P-HYDROXY-PHENYLPYRUVATE,3-(4-hydroxyphenyl)pyruvate,L-tyrosine biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,L-tyrosine Biosynthesis // Superpathways // Proteinogenic Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis // Pathways // Amino Acid Biosynthesis,Amino Acid Biosynthesis // All Pathways and Reactions // Biosynthesis,Biosynthesis // FRAMES // Pathways,Pathways // THINGS // All Pathways and Reactions,All Pathways and Reactions //  // FRAMES
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE,"(2<i>R</i>,3<i>S</i>)-3-isopropylmalate",L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Biosynthesis // Pathways // FRAMES,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
3-CARBOXY-3-HYDROXY-ISOCAPROATE,(2<i>S</i>)-2-isopropylmalate,L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Biosynthesis // Pathways // FRAMES,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
CPD-7100,(2<i>S</i>)-2-isopropyl-3-oxosuccinate,L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Biosynthesis // Pathways // FRAMES,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
3-DEHYDRO-SHIKIMATE,3-dehydroshikimate,chorismate biosynthesis from 3-dehydroquinate // chorismate biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,Chorismate Biosynthesis // Superpathways // L-tyrosine Biosynthesis // L-phenylalanine Biosynthesis // L-tryptophan Biosynthesis // Proteinogenic Amino Acid Biosynthesis,Carboxylic Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis,Biosynthesis // All Pathways and Reactions // Amino Acid Biosynthesis,Pathways // FRAMES // Biosynthesis,All Pathways and Reactions // THINGS // Pathways,FRAMES //  // All Pathways and Reactions
S-3-HYDROXYBUTANOYL-COA,(<i>S</i>)-3-hydroxybutanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
CPD0-2244,(<i>S</i>)-3-hydroxydecanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
CPD0-2107,(S)-3-hydroxydodecanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
OH-HEXANOYL-COA,(<i>S</i>)-3-hydroxyhexanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
CPD0-2232,(S)-3-hydroxyhexadecanoyl-CoA,,,,,,,
CPD0-2171,(S)-3-hydroxytetradecanoyl-CoA,,,,,,,
2-KETO-ISOVALERATE,3-methyl-2-oxobutanoate,L-alanine biosynthesis I // superpathway of L-alanine biosynthesis // L-valine biosynthesis // phosphopantothenate biosynthesis I // superpathway of coenzyme A biosynthesis I (bacteria) // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-alanine Biosynthesis // Superpathways // L-valine Biosynthesis // Phosphopantothenate Biosynthesis // Coenzyme A Biosynthesis // Vitamin Biosynthesis // L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis,"Proteinogenic Amino Acid Biosynthesis // Pathways // Coenzyme A Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis","Amino Acid Biosynthesis // All Pathways and Reactions // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis","Biosynthesis // FRAMES // Cofactor, Carrier, and Vitamin Biosynthesis // Pathways",Pathways // THINGS // Biosynthesis // All Pathways and Reactions,All Pathways and Reactions //  // Pathways // FRAMES
2-KETO-3-METHYL-VALERATE,(3<i>S</i>)-3-methyl-2-oxopentanoate,L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // superpathway of L-threonine metabolism,L-isoleucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways // L-threonine Degradation,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Degradation,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions // Amino Acid Degradation,Biosynthesis // Pathways // FRAMES // Degradation/Utilization/Assimilation,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
CPD0-2123,3-oxodecanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
CPD0-2105,3-oxododecanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
K-HEXANOYL-COA,3-oxohexanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
3-OXOPALMITOYL-COA,3-oxopalmitoyl-CoA,,,,,,,
CPD0-2106,3-oxooctanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
3-OCTAPRENYL-4-HYDROXYBENZOATE,4-hydroxy-3-octaprenylbenzoate,ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of chorismate metabolism,Ubiquinol Biosynthesis // Superpathways,Quinol and Quinone Biosynthesis // Pathways,Electron Carrier Biosynthesis // All Pathways and Reactions,Carrier Biosynthesis // FRAMES,"Cofactor, Carrier, and Vitamin Biosynthesis // THINGS",Biosynthesis // 
CPD-10284,3-oxomyristoyl-CoA,,,,,,,
G3P,3-phospho-D-glycerate,"glycolysis I (from glucose 6-phosphate) // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glycolysis and the Entner-Doudoroff pathway // glycolysis II (from fructose 6-phosphate) // superpathway of hexitol degradation (bacteria) // gluconeogenesis I // L-serine biosynthesis // superpathway of L-serine and glycine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis",Glycolysis // Generation of Precursor Metabolites and Energy // Superpathways // Alditol Degradation // Gluconeogenesis // L-serine Biosynthesis // Amino Acid Biosynthesis // Sulfur Compound Metabolism,Generation of Precursor Metabolites and Energy // Pathways // Alcohol Degradation // Carbohydrate Degradation // Sugar Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Biosynthesis // Inorganic Nutrient Metabolism,Pathways // All Pathways and Reactions // Degradation/Utilization/Assimilation // Carbohydrate Biosynthesis // Amino Acid Biosynthesis,All Pathways and Reactions // FRAMES // Pathways // Biosynthesis,FRAMES // THINGS // All Pathways and Reactions // Pathways,THINGS //  // FRAMES // All Pathways and Reactions
3-P-HYDROXYPYRUVATE,3-phosphooxypyruvate,L-serine biosynthesis // superpathway of L-serine and glycine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis,L-serine Biosynthesis // Amino Acid Biosynthesis // Superpathways // Sulfur Compound Metabolism,Proteinogenic Amino Acid Biosynthesis // Biosynthesis // Pathways // Inorganic Nutrient Metabolism,Amino Acid Biosynthesis // Pathways // All Pathways and Reactions // Degradation/Utilization/Assimilation,Biosynthesis // All Pathways and Reactions // FRAMES // Pathways,Pathways // FRAMES // THINGS // All Pathways and Reactions,All Pathways and Reactions // THINGS //  // FRAMES
3-ENOLPYRUVYL-SHIKIMATE-5P,5-enolpyruvoyl-shikimate 3-phosphate,chorismate biosynthesis from 3-dehydroquinate // chorismate biosynthesis I // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,Chorismate Biosynthesis // Superpathways // L-tyrosine Biosynthesis // L-phenylalanine Biosynthesis // L-tryptophan Biosynthesis // Proteinogenic Amino Acid Biosynthesis,Carboxylic Acid Biosynthesis // Pathways // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis,Biosynthesis // All Pathways and Reactions // Amino Acid Biosynthesis,Pathways // FRAMES // Biosynthesis,All Pathways and Reactions // THINGS // Pathways,FRAMES //  // All Pathways and Reactions
4-AMINO-4-DEOXYCHORISMATE,4-amino-4-deoxychorismate,4-aminobenzoate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,4-Aminobenzoate Biosynthesis // Folate Biosynthesis // Superpathways,Aromatic Compound Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",All Pathways and Reactions // Biosynthesis // Pathways // THINGS,FRAMES // Pathways // All Pathways and Reactions // 
4-CYTIDINE-5-DIPHOSPHO-2-C,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways,Isopentenyl Diphosphate Biosynthesis,Hemiterpene Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Biosynthesis
CPD-108,4-methylphenol,thiazole component of thiamine diphosphate biosynthesis I // superpathway of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis // Superpathways // Thiamine Biosynthesis,Thiamine Biosynthesis // Pathways // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis,"Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // All Pathways and Reactions // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Biosynthesis",Biosynthesis // THINGS // Pathways,Pathways //  // All Pathways and Reactions
CPD-7,a [4Fe-4S] iron-sulfur cluster,,,,,,,
2K-4CH3-PENTANOATE,4-methyl-2-oxopentanoate,L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis,L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Superpathways,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Pathways,Amino Acid Biosynthesis // Biosynthesis // All Pathways and Reactions,Biosynthesis // Pathways // FRAMES,Pathways // All Pathways and Reactions // THINGS,All Pathways and Reactions // FRAMES // 
THZ-P,4-methyl-5-(2-phosphooxyethyl)thiazole,thiamine diphosphate salvage II,Superpathways // Thiamine Diphosphate Salvage,Pathways // Thiamine Biosynthesis,All Pathways and Reactions // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis,"FRAMES // Cofactor, Carrier, and Vitamin Biosynthesis",THINGS // Biosynthesis, // Pathways
L-BETA-ASPARTYL-P,L-aspartyl-4-phosphate,"L-lysine biosynthesis I // L-homoserine biosynthesis // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-threonine biosynthesis // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // aspartate superpathway",L-lysine Biosynthesis // Other Amino Acid Biosynthesis // <i>S</i>-adenosyl-L-methionine Biosynthesis // Superpathways // L-methionine <i>De Novo</i> Biosynthesis // L-threonine Biosynthesis // Proteinogenic Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Single Carbon Carrier Biosynthesis // Enzyme Cofactor Biosynthesis // Pathways // L-methionine Biosynthesis,"Amino Acid Biosynthesis // Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Proteinogenic Amino Acid Biosynthesis","Biosynthesis // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Amino Acid Biosynthesis",Pathways // All Pathways and Reactions // Biosynthesis // THINGS,All Pathways and Reactions // FRAMES // Pathways // 
ERYTHRONATE-4P,4-phospho-D-erythronate,pyridoxal 5'-phosphate biosynthesis I // superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,Vitamin B<sub>6</sub> Biosynthesis // Superpathways,Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // Pathways,"Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
4-P-PANTOTHENATE,(<i>R</i>)-4'-phosphopantothenate,phosphopantothenate biosynthesis I // coenzyme A biosynthesis I (bacteria) // superpathway of coenzyme A biosynthesis I (bacteria),Phosphopantothenate Biosynthesis // Coenzyme A Biosynthesis // Superpathways // Vitamin Biosynthesis,"Coenzyme A Biosynthesis // Carrier Biosynthesis // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis","Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES // Pathways",Biosynthesis // Pathways // THINGS // All Pathways and Reactions,Pathways // All Pathways and Reactions //  // FRAMES
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE,(R)-4'-phosphopantothenoyl-L-cysteine,coenzyme A biosynthesis I (bacteria) // superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis // Superpathways // Vitamin Biosynthesis,"Carrier Biosynthesis // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Biosynthesis",Biosynthesis // FRAMES // Pathways,Pathways // THINGS // All Pathways and Reactions,All Pathways and Reactions //  // FRAMES
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE,5-amino-6-(D-ribitylamino)uracil,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",Biosynthesis // Pathways,Pathways // All Pathways and Reactions
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,"inosine-5'-phosphate biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Inosine-5'-phosphate Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Biosynthesis // All Pathways and Reactions // 
